Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2026-04-16T15:00:00.000Z,74620.0,75700.0,74050.0,74050.0,1059600,0.0,0.0,9983.T,NA,NA,JPY
2026-04-19T15:00:00.000Z,74940.0,75270.0,74590.0,74650.0,844300,0.0,0.0,9983.T,NA,NA,JPY
2026-04-20T15:00:00.000Z,74650.0,75440.0,73750.0,73750.0,1077100,0.0,0.0,9983.T,NA,NA,JPY
2026-04-21T15:00:00.000Z,72800.0,72990.0,71710.0,71710.0,1189900,0.0,0.0,9983.T,NA,NA,JPY
2026-04-22T15:00:00.000Z,71710.0,71850.0,69220.0,69290.0,1167700,0.0,0.0,9983.T,NA,NA,JPY
2026-04-23T15:00:00.000Z,68600.0,70250.0,68580.0,70090.0,1286200,0.0,0.0,9983.T,NA,NA,JPY
2026-04-26T15:00:00.000Z,69920.0,72080.0,69820.0,71870.0,1418900,0.0,0.0,9983.T,NA,NA,JPY
2026-04-27T15:00:00.000Z,72500.0,73820.0,72230.0,73170.0,1343200,0.0,0.0,9983.T,NA,NA,JPY
2026-04-29T15:00:00.000Z,73090.0,73670.0,72420.0,73590.0,1485500,0.0,0.0,9983.T,NA,NA,JPY
2026-04-30T15:00:00.000Z,73000.0,73900.0,72420.0,72890.0,891200,0.0,0.0,9983.T,NA,NA,JPY
2026-05-06T15:00:00.000Z,75000.0,75800.0,73360.0,75760.0,1952400,0.0,0.0,9983.T,NA,NA,JPY
2026-05-07T15:00:00.000Z,75410.0,75640.0,73960.0,75000.0,1842100,0.0,0.0,9983.T,NA,NA,JPY
2026-05-10T15:00:00.000Z,75280.0,75440.0,73720.0,75050.0,1549200,0.0,0.0,9983.T,NA,NA,JPY
2026-05-11T15:00:00.000Z,74020.0,74050.0,71630.0,72220.0,1487100,0.0,0.0,9983.T,NA,NA,JPY
2026-05-12T15:00:00.000Z,71780.0,72770.0,71330.0,72500.0,898200,0.0,0.0,9983.T,NA,NA,JPY
2026-05-13T15:00:00.000Z,72730.0,72850.0,70500.0,71330.0,1190100,0.0,0.0,9983.T,NA,NA,JPY
