Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-06-18 00:00:00+09:00,76591.48786502676,77538.04586517996,76143.11828600684,77239.1328125,597500,0.0,0.0
2026-06-19 00:00:00+09:00,77169.38236506596,77418.4765625,75535.32442989865,77418.4765625,984900,0.0,0.0
2026-06-22 00:00:00+09:00,76830.61806902327,78604.1688427603,76721.01661671368,77707.4296875,463200,0.0,0.0
2026-06-23 00:00:00+09:00,77846.92005607493,77876.81136033298,75186.59397710756,75405.796875,531300,0.0,0.0
2026-06-24 00:00:00+09:00,75226.45083469055,76721.01608306188,75146.74068811075,76471.921875,564500,0.0,0.0
2026-06-25 00:00:00+09:00,77278.98346419801,78404.88923153354,76222.82407183017,77089.671875,510400,0.0,0.0
2026-06-26 00:00:00+09:00,76292.56875303989,77358.69188959144,75943.83688594359,76820.6484375,575500,0.0,0.0
2026-06-29 00:00:00+09:00,76880.43221307544,77916.6640625,76232.7873071851,77916.6640625,509900,0.0,0.0
2026-06-30 00:00:00+09:00,79909.42062592524,82021.7394753886,79510.8698996114,80766.3046875,995800,0.0,0.0
2026-07-01 00:00:00+09:00,81244.568271086,82101.45236126425,80706.52477260199,81334.2421875,491300,0.0,0.0
2026-07-02 00:00:00+09:00,79630.4344449627,81782.6083488806,79182.06488164645,80108.6953125,461300,0.0,0.0
2026-07-03 00:00:00+09:00,78713.7648855853,80098.72859686332,77846.91709507316,80009.0546875,468100,0.0,0.0
2026-07-06 00:00:00+09:00,80736.41678543288,81732.79364320695,79092.39497010567,80616.8515625,413300,0.0,0.0
2026-07-07 00:00:00+09:00,80178.44517559638,80258.15532365214,77896.7421875,77896.7421875,561600,0.0,0.0
2026-07-08 00:00:00+09:00,76402.17774849397,77039.85893992637,74339.67764495482,74429.3515625,602200,0.0,0.0
2026-07-09 00:00:00+09:00,74827.89753844246,75913.9482483879,74728.25985863096,75326.0859375,450500,0.0,0.0
2026-07-10 00:00:00+09:00,76721.01630505393,77199.2771859166,75585.14671300507,76691.125,760000,0.0,0.0
2026-07-13 00:00:00+09:00,76960.14504155802,77179.34794043351,74628.62329897327,76422.1015625,626500,0.0,0.0
2026-07-14 00:00:00+09:00,76222.82987838241,76422.10525061347,74250.00369329487,75116.8515625,470500,0.0,0.0
2026-07-15 00:00:00+09:00,76422.10076921822,76501.81091343643,75226.44860594493,76342.390625,442200,0.0,0.0
2026-07-16 00:00:00+09:00,74728.26109891965,75156.70312922013,73771.73935685348,73781.703125,464600,0.0,0.0
2026-07-17 00:00:00+09:00,71589.67299485045,72187.49907413938,68680.25274231094,70623.1875,905400,0.0,0.0
2026-07-21 00:00:00+09:00,70573.36767062431,72326.99081195283,70085.1430460499,71699.2734375,610700,0.0,0.0
2026-07-22 00:00:00+09:00,72107.79235499584,73562.5025503571,71759.0604588476,71848.734375,716400,0.0,0.0
2026-07-23 00:00:00+09:00,71739.12953224468,72904.89038714365,71739.12953224468,71998.1875,496200,0.0,0.0
2026-07-24 00:00:00+09:00,71171.19430085631,71838.76675194931,70543.47692147034,71559.78125,618000,0.0,0.0
2026-07-27 00:00:00+09:00,71569.74396445665,73901.265625,71430.25121553526,73901.265625,675900,0.0,0.0
2026-07-28 00:00:00+09:00,72107.7926268499,72336.95930232559,69696.5606501057,70692.9375,833000,0.0,0.0
2026-07-29 00:00:00+09:00,80507.24449026937,81593.2951894574,75644.92576362933,77308.875,1893900,0.0,0.0
2026-07-30 00:00:00+09:00,78105.97646258073,80028.98366468279,77498.18662150184,78683.875,1095900,0.0,0.0
2026-07-31 00:00:00+09:00,79759.96209276802,83217.38955637708,79431.15775184843,80855.9765625,1256200,0.0,0.0
2026-08-03 00:00:00+09:00,79710.14762436422,81523.55348281852,78624.09686298226,80317.9375,744000,0.0,0.0
2026-08-04 00:00:00+09:00,81812.50291578709,83137.68412243667,80656.70577314535,82599.640625,787300,0.0,0.0
2026-08-05 00:00:00+09:00,83366.84825975624,87272.64538152324,83326.99318708514,87063.40625,1068000,0.0,0.0
2026-08-06 00:00:00+09:00,86754.52967708699,87601.44997369344,85220.109375,85220.109375,798200,0.0,0.0
2026-08-07 00:00:00+09:00,83516.30668950475,85379.5313794281,82868.66174380948,84801.6328125,759600,0.0,0.0
2026-08-10 00:00:00+09:00,84911.23415441177,85578.80663602942,84193.84283088235,84692.03125,439300,0.0,0.0
2026-08-12 00:00:00+09:00,85220.1054750215,87023.54743585149,84851.446068664,86884.0546875,667800,0.0,0.0
2026-08-13 00:00:00+09:00,86684.78442802724,87023.5525510793,85648.55252222094,86316.125,558700,0.0,0.0
2026-08-14 00:00:00+09:00,84821.55731127367,87501.8109136151,84622.2819505048,87342.390625,703100,0.0,0.0
2026-08-17 00:00:00+09:00,87153.07879682997,87312.49908501441,85658.51359510087,86435.6875,588800,0.0,0.0
2026-08-18 00:00:00+09:00,85817.93327569684,86605.07094303459,83725.54200809015,83825.1796875,480600,0.0,0.0
2026-08-19 00:00:00+09:00,79710.14595103578,81234.60249234934,79281.70391654897,79361.4140625,830700,0.0,0.0
2026-08-20 00:00:00+09:00,80068.84407531912,80626.81511417152,79092.39475732743,80397.6484375,519900,0.0,0.0
2026-08-21 00:00:00+09:00,78663.94983475438,80178.44259914737,78404.89186189769,79610.5078125,393800,0.0,0.0
2026-08-24 00:00:00+09:00,80208.3320940204,81204.70889021941,79710.14369592088,80606.8828125,412300,0.0,0.0
2026-08-25 00:00:00+09:00,80656.70234137538,81951.9921875,80128.62263487843,81951.9921875,339200,0.0,0.0
2026-08-26 00:00:00+09:00,80756.34136790644,81483.69644746932,80437.50078508435,81204.7109375,285900,0.0,0.0
2026-08-27 00:00:00+09:00,81483.69215801886,82041.6631485849,81085.1414504717,81852.3515625,366700,0.0,0.0
2026-08-28 00:00:00+09:00,82490.03781378074,83705.61754723662,82330.61752086849,82659.421875,426100,0.0,0.0
2026-08-31 00:00:00+09:00,81413.94805892152,83865.03497882052,81324.2741472179,83356.8828125,576900,0.0,0.0
2026-09-01 00:00:00+09:00,82270.83208347259,83187.49873621324,81981.8828125,81981.8828125,355600,0.0,0.0
2026-09-02 00:00:00+09:00,80487.32036456998,80487.32036456998,77737.3203125,77737.3203125,746500,0.0,0.0
2026-09-03 00:00:00+09:00,77777.1710795236,78365.03337694761,76940.21458827583,77697.4609375,563300,0.0,0.0
2026-09-04 00:00:00+09:00,78464.67437194416,78713.76857629954,76571.55841884328,77438.40625,663200,0.0,0.0
2026-09-07 00:00:00+09:00,77378.62062484155,78604.1640625,77378.62062484155,78604.1640625,489600,0.0,0.0
2026-09-08 00:00:00+09:00,78215.5784364415,79291.66537543968,76481.8828125,76481.8828125,414600,0.0,0.0
2026-09-09 00:00:00+09:00,77219.20473911904,77468.2989479549,76003.625,76003.625,513400,0.0,0.0
2026-09-10 00:00:00+09:00,75266.30636029411,77159.42235294117,75057.0672242647,76222.828125,555000,0.0,0.0
2026-09-11 00:00:00+09:00,73841.4883778783,75724.640625,73243.66226768092,75724.640625,795800,0.0,0.0
2026-09-14 00:00:00+09:00,74598.73054485914,76302.53486209847,74349.63634643234,75684.78125,563400,0.0,0.0
2026-09-15 00:00:00+09:00,75186.59183146643,76232.78745064267,75047.09908224293,75385.8671875,443900,0.0,0.0
2026-09-16 00:00:00+09:00,75126.8115942029,76103.26086956522,74708.33333333333,75625.0,438800,0.0,0.0
2026-09-17 00:00:00+09:00,76180.0,77180.0,75800.0,76100.0,414500,275.0,0.0
2026-09-18 00:00:00+09:00,77390.0,77450.0,75480.0,76580.0,627400,0.0,0.0
