Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-06-01 00:00:00+09:00,66363.4296875,67231.28125,66244.84375,66934.328125,189500000,0.0,0.0
2026-06-02 00:00:00+09:00,66629.6015625,66748.0625,65551.1328125,66734.2421875,187700000,0.0,0.0
2026-06-03 00:00:00+09:00,67238.53125,68786.4921875,67238.53125,68402.1328125,170700000,0.0,0.0
2026-06-04 00:00:00+09:00,67860.84375,68051.9375,66920.796875,67470.6875,152700000,0.0,0.0
2026-06-05 00:00:00+09:00,67115.0,67115.0,65862.2109375,66588.1171875,148100000,0.0,0.0
2026-06-08 00:00:00+09:00,65947.5625,66115.1796875,63406.66015625,64024.6015625,179500000,0.0,0.0
2026-06-09 00:00:00+09:00,64625.26171875,65485.16015625,63918.9609375,65416.62890625,168100000,0.0,0.0
2026-06-10 00:00:00+09:00,64952.37890625,65098.859375,63733.0390625,64179.26953125,171300000,0.0,0.0
2026-06-11 00:00:00+09:00,63329.171875,64395.5,62335.75,64217.26953125,171100000,0.0,0.0
2026-06-12 00:00:00+09:00,65176.23046875,67065.9375,64998.109375,66020.0390625,190600000,0.0,0.0
2026-06-15 00:00:00+09:00,66783.21875,69682.2265625,66783.21875,69317.5,168300000,0.0,0.0
2026-06-16 00:00:00+09:00,69288.90625,70020.6796875,69095.671875,69404.5,153800000,0.0,0.0
2026-06-17 00:00:00+09:00,69005.8828125,70125.75,68985.6328125,69902.25,144300000,0.0,0.0
2026-06-18 00:00:00+09:00,70163.7109375,71398.578125,70092.9375,71053.4921875,156700000,0.0,0.0
2026-06-19 00:00:00+09:00,71551.03125,71952.9921875,70517.9765625,71250.0625,214400000,0.0,0.0
2026-06-22 00:00:00+09:00,71067.1484375,72831.7265625,71009.5234375,72353.9609375,133200000,0.0,0.0
2026-06-23 00:00:00+09:00,72404.3671875,72618.4375,69788.3828125,69788.3828125,172300000,0.0,0.0
2026-06-24 00:00:00+09:00,69615.078125,70218.7109375,68461.1015625,69174.96875,153900000,0.0,0.0
2026-06-25 00:00:00+09:00,70114.09375,72594.21875,69982.671875,72366.34375,151000000,0.0,0.0
2026-06-26 00:00:00+09:00,71587.7109375,71786.28125,68639.84375,69360.8828125,156900000,0.0,0.0
2026-06-29 00:00:00+09:00,69609.8828125,69609.8828125,67997.5703125,69468.109375,182400000,0.0,0.0
2026-06-30 00:00:00+09:00,70085.6015625,70667.0,69302.1875,70062.3203125,160500000,0.0,0.0
2026-07-01 00:00:00+09:00,70774.28125,71962.34375,70126.140625,70474.9609375,163400000,0.0,0.0
2026-07-02 00:00:00+09:00,70039.890625,70081.390625,68676.2578125,68733.1484375,169900000,0.0,0.0
2026-07-03 00:00:00+09:00,68676.0625,69788.03125,67609.4921875,69744.0703125,159300000,0.0,0.0
2026-07-06 00:00:00+09:00,69973.34375,70384.59375,68904.40625,69737.6875,135400000,0.0,0.0
2026-07-07 00:00:00+09:00,69460.078125,69957.5078125,68003.921875,68256.9609375,175000000,0.0,0.0
2026-07-08 00:00:00+09:00,67704.15625,68432.6796875,66819.046875,66819.046875,168900000,0.0,0.0
2026-07-09 00:00:00+09:00,67046.3671875,68447.890625,67008.890625,67743.8515625,136400000,0.0,0.0
2026-07-10 00:00:00+09:00,68526.71875,69374.859375,68271.90625,68557.7265625,154400000,0.0,0.0
2026-07-13 00:00:00+09:00,68410.6328125,69078.2109375,66653.109375,67242.7265625,137100000,0.0,0.0
2026-07-14 00:00:00+09:00,67002.9375,67800.1796875,66268.6015625,67743.5,168500000,0.0,0.0
2026-07-15 00:00:00+09:00,67989.7421875,68798.2421875,67833.171875,68751.5078125,147400000,0.0,0.0
