Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2026-04-16T15:00:00.000Z,2920.0,2926.0,2847.0,2870.0,40793100,0.0,0.0,8306.T,NA,NA,JPY
2026-04-19T15:00:00.000Z,2885.0,2894.5,2866.0,2870.5,24113800,0.0,0.0,8306.T,NA,NA,JPY
2026-04-20T15:00:00.000Z,2879.5,2880.5,2830.5,2830.5,30217100,0.0,0.0,8306.T,NA,NA,JPY
2026-04-21T15:00:00.000Z,2820.0,2824.0,2772.0,2794.0,38846200,0.0,0.0,8306.T,NA,NA,JPY
2026-04-22T15:00:00.000Z,2794.0,2807.5,2728.0,2752.0,35144800,0.0,0.0,8306.T,NA,NA,JPY
2026-04-23T15:00:00.000Z,2782.5,2783.0,2740.0,2755.5,22067000,0.0,0.0,8306.T,NA,NA,JPY
2026-04-26T15:00:00.000Z,2745.0,2796.5,2715.0,2788.0,29320200,0.0,0.0,8306.T,NA,NA,JPY
2026-04-27T15:00:00.000Z,2821.0,2886.0,2796.5,2875.0,45635600,0.0,0.0,8306.T,NA,NA,JPY
2026-04-29T15:00:00.000Z,2868.0,2868.0,2785.0,2817.0,39443000,0.0,0.0,8306.T,NA,NA,JPY
2026-04-30T15:00:00.000Z,2800.0,2813.0,2754.0,2798.0,28643100,0.0,0.0,8306.T,NA,NA,JPY
2026-05-06T15:00:00.000Z,2850.0,2891.5,2817.5,2863.0,53805900,0.0,0.0,8306.T,NA,NA,JPY
2026-05-07T15:00:00.000Z,2816.5,2827.5,2788.0,2806.5,37166700,0.0,0.0,8306.T,NA,NA,JPY
2026-05-10T15:00:00.000Z,2810.0,2856.5,2801.5,2856.5,29713600,0.0,0.0,8306.T,NA,NA,JPY
2026-05-11T15:00:00.000Z,2885.5,2899.0,2846.0,2886.0,28562100,0.0,0.0,8306.T,NA,NA,JPY
2026-05-12T15:00:00.000Z,2875.5,2939.0,2863.0,2926.5,34802100,0.0,0.0,8306.T,NA,NA,JPY
2026-05-13T15:00:00.000Z,2920.5,2923.5,2875.0,2877.0,34334700,0.0,0.0,8306.T,NA,NA,JPY
2026-05-14T15:00:00.000Z,2910.5,2951.5,2877.5,2929.0,47220900,0.0,0.0,8306.T,NA,NA,JPY
2026-05-17T15:00:00.000Z,2979.0,3063.0,2973.0,2995.0,66978500,0.0,0.0,8306.T,NA,NA,JPY
2026-05-18T15:00:00.000Z,3030.0,3110.0,3026.0,3108.0,55685600,0.0,0.0,8306.T,NA,NA,JPY
2026-05-19T15:00:00.000Z,3162.0,3170.0,3024.0,3030.0,51809100,0.0,0.0,8306.T,NA,NA,JPY
2026-05-20T15:00:00.000Z,3090.0,3148.0,3067.0,3067.0,52123700,0.0,0.0,8306.T,NA,NA,JPY
2026-05-21T15:00:00.000Z,3098.0,3140.0,3073.0,3091.0,40421700,0.0,0.0,8306.T,NA,NA,JPY
2026-05-24T15:00:00.000Z,3090.0,3095.0,3043.0,3066.0,32348200,0.0,0.0,8306.T,NA,NA,JPY
2026-05-25T15:00:00.000Z,3041.0,3088.0,3011.0,3061.0,33909800,0.0,0.0,8306.T,NA,NA,JPY
2026-05-26T15:00:00.000Z,3061.0,3066.0,3017.0,3031.0,34986500,0.0,0.0,8306.T,NA,NA,JPY
2026-05-27T15:00:00.000Z,3010.0,3011.0,2964.0,2982.0,41665800,0.0,0.0,8306.T,NA,NA,JPY
2026-05-28T15:00:00.000Z,2995.0,3034.0,2984.0,2999.0,69856600,0.0,0.0,8306.T,NA,NA,JPY
2026-05-31T15:00:00.000Z,2995.0,3040.0,2976.5,3023.0,34763500,0.0,0.0,8306.T,NA,NA,JPY
2026-06-01T15:00:00.000Z,3013.0,3047.0,2972.5,3046.0,37371200,0.0,0.0,8306.T,NA,NA,JPY
2026-06-02T15:00:00.000Z,3062.0,3149.0,3052.0,3137.0,46784900,0.0,0.0,8306.T,NA,NA,JPY
2026-06-03T15:00:00.000Z,3137.0,3208.0,3081.0,3169.0,57793900,0.0,0.0,8306.T,NA,NA,JPY
2026-06-04T15:00:00.000Z,3210.0,3273.0,3202.0,3219.0,42730200,0.0,0.0,8306.T,NA,NA,JPY
2026-06-07T15:00:00.000Z,3200.0,3217.0,3135.0,3168.0,43619100,0.0,0.0,8306.T,NA,NA,JPY
2026-06-08T15:00:00.000Z,3197.0,3249.0,3168.0,3180.0,48649000,0.0,0.0,8306.T,NA,NA,JPY
2026-06-09T15:00:00.000Z,3230.0,3305.0,3171.0,3183.0,60312600,0.0,0.0,8306.T,NA,NA,JPY
2026-06-10T15:00:00.000Z,3113.0,3148.0,3080.0,3141.0,43885600,0.0,0.0,8306.T,NA,NA,JPY
2026-06-11T15:00:00.000Z,3141.0,3205.0,3129.0,3162.0,54083500,0.0,0.0,8306.T,NA,NA,JPY
2026-06-14T15:00:00.000Z,3231.0,3327.0,3225.0,3242.0,56006100,0.0,0.0,8306.T,NA,NA,JPY
2026-06-15T15:00:00.000Z,3225.0,3236.0,3186.0,3228.0,38818500,0.0,0.0,8306.T,NA,NA,JPY
2026-06-16T15:00:00.000Z,3266.0,3312.0,3260.0,3272.0,42080800,0.0,0.0,8306.T,NA,NA,JPY
2026-06-17T15:00:00.000Z,3324.0,3394.0,3317.0,3374.0,49472400,0.0,0.0,8306.T,NA,NA,JPY
2026-06-18T15:00:00.000Z,3370.0,3371.0,3258.0,3278.0,53414800,0.0,0.0,8306.T,NA,NA,JPY
2026-06-21T15:00:00.000Z,3242.0,3335.0,3239.0,3333.0,26077100,0.0,0.0,8306.T,NA,NA,JPY
2026-06-22T15:00:00.000Z,3336.0,3343.0,3265.0,3267.0,31972100,0.0,0.0,8306.T,NA,NA,JPY
2026-06-23T15:00:00.000Z,3291.0,3292.0,3201.0,3205.0,28539300,0.0,0.0,8306.T,NA,NA,JPY
2026-06-24T15:00:00.000Z,3275.0,3276.0,3211.0,3233.0,26463100,0.0,0.0,8306.T,NA,NA,JPY
2026-06-25T15:00:00.000Z,3240.0,3285.0,3220.0,3245.0,27483000,0.0,0.0,8306.T,NA,NA,JPY
2026-06-28T15:00:00.000Z,3245.0,3267.0,3180.0,3211.0,30642500,0.0,0.0,8306.T,NA,NA,JPY
2026-06-29T15:00:00.000Z,3238.0,3257.0,3207.0,3207.0,28320000,0.0,0.0,8306.T,NA,NA,JPY
2026-06-30T15:00:00.000Z,3215.0,3267.0,3215.0,3247.0,21862400,0.0,0.0,8306.T,NA,NA,JPY
2026-07-01T15:00:00.000Z,3282.0,3338.0,3255.0,3306.0,34768500,0.0,0.0,8306.T,NA,NA,JPY
2026-07-02T15:00:00.000Z,3325.0,3337.0,3298.0,3326.0,24679200,0.0,0.0,8306.T,NA,NA,JPY
2026-07-05T15:00:00.000Z,3314.0,3370.0,3294.0,3370.0,25810800,0.0,0.0,8306.T,NA,NA,JPY
2026-07-06T15:00:00.000Z,3430.0,3518.0,3426.0,3446.0,53306500,0.0,0.0,8306.T,NA,NA,JPY
