Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2026-04-21 00:00:00+09:00,393.53929800051355,394.12799402938526,391.87133090909765,391.9694519042969,16652130,0.0,0.0,0.0
2026-04-22 00:00:00+09:00,390.301486106322,390.59584909289526,388.0448529208798,389.41845703125,20743070,0.0,0.0,0.0
2026-04-23 00:00:00+09:00,389.2222659512516,390.1052950738954,382.9428812072836,386.1806945800781,21774440,0.0,0.0,0.0
2026-04-24 00:00:00+09:00,388.24110880516383,388.43732086091023,385.10141648997165,386.27880859375,9457590,0.0,0.0,0.0
2026-04-27 00:00:00+09:00,386.867470752965,390.39961708590783,383.6296874141235,388.43731689453125,35268650,0.0,0.0,0.0
2026-04-28 00:00:00+09:00,390.30147987487726,392.46002197265625,389.02599678039553,392.46002197265625,18269570,0.0,0.0,0.0
2026-04-30 00:00:00+09:00,388.535443870462,388.535443870462,384.9051764836312,386.6712646484375,17418510,0.0,0.0,0.0
2026-05-01 00:00:00+09:00,386.76938066600354,389.02601391480897,383.82593037156613,387.1618347167969,13476730,0.0,0.0,0.0
2026-05-07 00:00:00+09:00,396.48275128885535,401.8790767012586,394.9129051804187,399.5243225097656,25211910,0.0,0.0,0.0
2026-05-08 00:00:00+09:00,397.8563557725628,398.543172802614,395.3053595867893,398.2488098144531,12794980,0.0,0.0,0.0
2026-05-11 00:00:00+09:00,399.42620849609375,402.2715377748166,398.1506954109252,399.42620849609375,9307430,0.0,0.0,0.0
2026-05-12 00:00:00+09:00,402.66397792788604,404.9206410273143,399.1318317296288,402.56585693359375,9041680,0.0,0.0,0.0
2026-05-13 00:00:00+09:00,402.27153772323453,408.55089232362013,402.07529572790315,407.8641052246094,17206170,0.0,0.0,0.0
2026-05-14 00:00:00+09:00,408.64902778658063,408.7471487877196,403.4489440917969,403.4489440917969,16840080,0.0,0.0,0.0
2026-05-15 00:00:00+09:00,405.4112447836176,408.8452702309153,398.54319388902223,402.1734313964844,15449260,0.0,0.0,0.0
2026-05-18 00:00:00+09:00,402.2715311140585,403.3508021860001,396.8752056966748,398.2488098144531,20930820,0.0,0.0,0.0
2026-05-19 00:00:00+09:00,401.68284776618384,403.64514797993394,398.8375184447112,400.60357666015625,8957190,0.0,0.0,0.0
2026-05-20 00:00:00+09:00,400.30925004306,400.50549204452113,391.5770199398995,394.61859130859375,14204900,0.0,0.0,0.0
