Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2026-04-16T15:00:00.000Z,3414.0,3445.0,3395.0,3395.0,16015200,0.0,0.0,6758.T,NA,NA,JPY
2026-04-19T15:00:00.000Z,3430.0,3449.0,3373.0,3384.0,11565400,0.0,0.0,6758.T,NA,NA,JPY
2026-04-20T15:00:00.000Z,3370.0,3384.0,3314.0,3346.0,13295300,0.0,0.0,6758.T,NA,NA,JPY
2026-04-21T15:00:00.000Z,3328.0,3350.0,3313.0,3343.0,10601800,0.0,0.0,6758.T,NA,NA,JPY
2026-04-22T15:00:00.000Z,3317.0,3332.0,3210.0,3263.0,18450400,0.0,0.0,6758.T,NA,NA,JPY
2026-04-23T15:00:00.000Z,3284.0,3288.0,3189.0,3208.0,14835500,0.0,0.0,6758.T,NA,NA,JPY
2026-04-26T15:00:00.000Z,3193.0,3202.0,3165.0,3188.0,14536900,0.0,0.0,6758.T,NA,NA,JPY
2026-04-27T15:00:00.000Z,3248.0,3250.0,3197.0,3234.0,15948100,0.0,0.0,6758.T,NA,NA,JPY
2026-04-29T15:00:00.000Z,3231.0,3233.0,3080.0,3113.0,27241300,0.0,0.0,6758.T,NA,NA,JPY
2026-04-30T15:00:00.000Z,3085.0,3142.0,3075.0,3127.0,14988600,0.0,0.0,6758.T,NA,NA,JPY
2026-05-06T15:00:00.000Z,3124.0,3177.0,3066.0,3130.0,32973800,0.0,0.0,6758.T,NA,NA,JPY
2026-05-07T15:00:00.000Z,3088.0,3359.0,3043.0,3114.0,64786200,0.0,0.0,6758.T,NA,NA,JPY
2026-05-10T15:00:00.000Z,3352.0,3477.0,3328.0,3372.0,57094400,0.0,0.0,6758.T,NA,NA,JPY
2026-05-11T15:00:00.000Z,3395.0,3532.0,3368.0,3484.0,39212300,0.0,0.0,6758.T,NA,NA,JPY
2026-05-12T15:00:00.000Z,3634.0,3728.0,3589.0,3660.0,52422900,0.0,0.0,6758.T,NA,NA,JPY
2026-05-13T15:00:00.000Z,3528.0,3542.0,3410.0,3444.0,39152200,0.0,0.0,6758.T,NA,NA,JPY
2026-05-14T15:00:00.000Z,3548.0,3647.0,3529.0,3576.0,31904000,0.0,0.0,6758.T,NA,NA,JPY
2026-05-17T15:00:00.000Z,3589.0,3697.0,3571.0,3596.0,21945800,0.0,0.0,6758.T,NA,NA,JPY
2026-05-18T15:00:00.000Z,3596.0,3722.0,3596.0,3720.0,24762000,0.0,0.0,6758.T,NA,NA,JPY
2026-05-19T15:00:00.000Z,3676.0,3677.0,3555.0,3606.0,21952200,0.0,0.0,6758.T,NA,NA,JPY
2026-05-20T15:00:00.000Z,3594.0,3600.0,3518.0,3554.0,19732200,0.0,0.0,6758.T,NA,NA,JPY
2026-05-21T15:00:00.000Z,3540.0,3552.0,3458.0,3525.0,17093600,0.0,0.0,6758.T,NA,NA,JPY
2026-05-24T15:00:00.000Z,3595.0,3606.0,3532.0,3598.0,16838300,0.0,0.0,6758.T,NA,NA,JPY
2026-05-25T15:00:00.000Z,3619.0,3652.0,3546.0,3548.0,14580600,0.0,0.0,6758.T,NA,NA,JPY
2026-05-26T15:00:00.000Z,3492.0,3525.0,3448.0,3525.0,17554500,0.0,0.0,6758.T,NA,NA,JPY
2026-05-27T15:00:00.000Z,3438.0,3494.0,3384.0,3451.0,24395600,0.0,0.0,6758.T,NA,NA,JPY
2026-05-28T15:00:00.000Z,3462.0,3496.0,3419.0,3444.0,47099000,0.0,0.0,6758.T,NA,NA,JPY
2026-05-31T15:00:00.000Z,3471.0,3604.0,3457.0,3542.0,21486100,0.0,0.0,6758.T,NA,NA,JPY
2026-06-01T15:00:00.000Z,3584.0,3672.0,3562.0,3669.0,24443600,0.0,0.0,6758.T,NA,NA,JPY
2026-06-02T15:00:00.000Z,3599.0,3658.0,3558.0,3619.0,17219400,0.0,0.0,6758.T,NA,NA,JPY
2026-06-03T15:00:00.000Z,3589.0,3606.0,3505.0,3540.0,19404500,0.0,0.0,6758.T,NA,NA,JPY
2026-06-04T15:00:00.000Z,3580.0,3633.0,3559.0,3559.0,13768900,0.0,0.0,6758.T,NA,NA,JPY
2026-06-07T15:00:00.000Z,3489.0,3555.0,3456.0,3508.0,16837100,0.0,0.0,6758.T,NA,NA,JPY
2026-06-08T15:00:00.000Z,3524.0,3531.0,3425.0,3443.0,16840900,0.0,0.0,6758.T,NA,NA,JPY
2026-06-09T15:00:00.000Z,3436.0,3446.0,3347.0,3385.0,15986300,0.0,0.0,6758.T,NA,NA,JPY
2026-06-10T15:00:00.000Z,3315.0,3398.0,3312.0,3369.0,14530400,0.0,0.0,6758.T,NA,NA,JPY
2026-06-11T15:00:00.000Z,3349.0,3363.0,3246.0,3292.0,28052300,0.0,0.0,6758.T,NA,NA,JPY
2026-06-14T15:00:00.000Z,3339.0,3350.0,3290.0,3320.0,16105300,0.0,0.0,6758.T,NA,NA,JPY
2026-06-15T15:00:00.000Z,3253.0,3296.0,3226.0,3275.0,18017000,0.0,0.0,6758.T,NA,NA,JPY
2026-06-16T15:00:00.000Z,3297.0,3314.0,3258.0,3286.0,13386100,0.0,0.0,6758.T,NA,NA,JPY
2026-06-17T15:00:00.000Z,3280.0,3304.0,3215.0,3250.0,18411000,0.0,0.0,6758.T,NA,NA,JPY
2026-06-18T15:00:00.000Z,3180.0,3203.0,3113.0,3140.0,30032000,0.0,0.0,6758.T,NA,NA,JPY
2026-06-21T15:00:00.000Z,3120.0,3207.0,3116.0,3183.0,19632700,0.0,0.0,6758.T,NA,NA,JPY
